River_ID,Station,State,District LGD Code,District,Latitude,Longitude,Date,Mean_Discharge_m3_sec,Max_Discharge_m3_sec,Min_Discharge_m3_sec,Readings
101,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-02-02,198.52631578947367,499.55,141.07,95
191,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-02-02,5.832210526315789,6.95,5.41,95
272,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-02-02,10.556451612903226,13.88,7.68,93
369,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-02-02,14.445368421052631,14.79,14.02,95
11,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-02-03,18.305,20.94,15.58,92
102,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-02-03,287.6633684210526,685.66,148.32,95
192,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-02-03,5.402151898734177,5.82,4.2,79
273,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-02-03,8.342988505747126,13.48,4.79,87
370,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-02-03,9.087684210526316,10.95,8.24,95
12,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-02-04,20.100947368421053,22.93,16.72,95
103,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-02-04,197.5328125,498.92,142.22,96
274,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-02-04,8.390597014925373,13.04,4.61,67
371,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-02-04,10.627234042553193,11.21,9.95,94
13,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-02-05,21.730777777777778,26.83,16.92,90
104,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-02-05,232.05010638297873,522.02,139.84,94
193,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-02-05,6.1792105263157895,6.77,5.39,38
275,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-02-05,8.08788888888889,13.16,5.25,90
372,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-02-05,10.186354166666666,12.53,9.12,96
14,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-02-06,29.077263157894738,34.74,15.75,95
105,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-02-06,117.6066304347826,169.12,7.12,92
194,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-02-06,10.004947368421053,10.86,9.18,95
276,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-02-06,8.248842105263158,11.85,5.72,95
373,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-02-06,10.332083333333333,14.45,8.18,96
15,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-02-07,103.19072916666666,119.7,90.11,96
106,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-02-07,135.22935483870967,175.84,116.9,93
195,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-02-07,56.99863157894737,65.79,51.66,95
16,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-02-08,1371.1694791666666,99999.99,271.02,96
107,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-02-08,438.43260416666664,699.77,138.09,96
196,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-02-08,93.01260416666666,156.48,48.87,96
277,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-02-08,97.91270833333334,124.86,74.68,96
278,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-02-09,204.50322916666667,259.75,160.99,96
374,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-02-09,47.7603125,68.68,35.36,96
108,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-03-01,204.8984375,480.72,138.39,96
197,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-03-01,6.606593406593407,7.22,4.85,91
279,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-03-01,6.494270833333334,10.72,4.12,96
375,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-03-01,6.551354166666666,6.84,6.09,96
17,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-03-02,20.78462365591398,24.68,17.49,93
109,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-03-02,206.29715789473684,505.77,140.78,95
198,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-03-02,5.85904255319149,7.26,5.12,94
280,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-03-02,10.030312499999999,12.38,6.13,96
376,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-03-02,13.739270833333334,14.55,12.5,96
18,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-03-03,18.286947368421053,21.37,14.59,95
110,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-03-03,285.9337894736842,645.59,136.29,95
199,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-03-03,5.398588235294118,5.74,4.2,85
281,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-03-03,8.058181818181819,12.84,4.89,88
377,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-03-03,8.082941176470587,8.24,7.78,17
19,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-03-04,19.940631578947368,24.31,17.1,95
111,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-03-04,161.7618947368421,182.0,136.2,95
282,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-03-04,8.426911764705881,20.96,4.6,68
378,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-03-04,9.9459375,10.81,8.29,96
20,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-03-05,22.751894736842104,27.29,18.64,95
112,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-03-05,221.3682978723404,488.33,143.1,94
200,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-03-05,6.39436170212766,7.24,5.64,94
283,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-03-05,8.985862068965517,14.9,5.93,87
379,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-03-05,10.928229166666666,13.97,8.8,96
21,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-03-06,28.572659574468084,32.56,23.8,94
113,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-03-06,117.0,190.19,8.22,94
201,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-03-06,10.018749999999999,10.77,8.97,96
284,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-03-06,8.067941176470589,13.12,5.09,68
380,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-03-06,9.645416666666668,11.33,8.4,96
22,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-03-07,87.85020833333334,108.42,66.57,96
114,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-03-07,132.33802083333333,170.21,107.97,96
202,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-03-07,53.92378947368421,120.86,25.98,95
23,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-03-08,346.8594791666667,477.91,280.99,96
